HT,y,x
73.09,39.42622976731463,-120.336824674298
72.46,39.428509119908234,-120.33061620890767
72.42,39.42549115235453,-120.3371522696849
71.72,39.425648570076156,-120.33696405329675
71.63,39.429120861083625,-120.33865552526552
71.22,39.42713221953436,-120.33734115745133
66.07,39.429067584366784,-120.33137787648522
65.73,39.42883533278741,-120.33120104257148
64.47,39.42563198255182,-120.32968728845927
63.05,39.4287016906568,-120.33062184689966
62.84,39.43065578227956,-120.33090613630327
62.31,39.42659725897809,-120.33738737247661
59.86,39.43003807657314,-120.33178439681173
59.11,39.42853130942002,-120.33055112773974
58.68,39.429274346289574,-120.33149746842682
58.12,39.42891518137438,-120.3301984002826
57.68,39.42640470039747,-120.32941982490577
55.91,39.43006234550326,-120.33198665037806
55.12,39.42965850881997,-120.33905865596827
55.08,39.4307867096024,-120.33103600344495
55.0,39.42428759164992,-120.33615655021565
54.98,39.430078455051174,-120.33597940758757
54.31,39.42989388962573,-120.33579472071884
54.05,39.425405190850626,-120.33605626917785
53.88,39.42498994324143,-120.33832499541025
53.79,39.42951527865972,-120.33501003788963
53.74,39.4268122056909,-120.32908734912233
53.68,39.42593705427507,-120.33278545416152
53.67,39.43023796809265,-120.33656753314163
53.36,39.42850018633779,-120.33834502637137
53.24,39.42688109887125,-120.33786070395195
53.24,39.42515085046285,-120.33798044216996
53.18,39.42330518808526,-120.33562471952224
52.86,39.430653343551256,-120.3311961582106
52.57,39.42591938317903,-120.33282784992132
52.54,39.43043045213557,-120.33504612330451
52.15,39.42585999761906,-120.33294072685155
51.96,39.4299298311928,-120.33538291238489
51.93,39.428100549866144,-120.33595340361941
51.88,39.43065660247251,-120.33645705076238
51.76,39.42794361569875,-120.33762030474871
51.66,39.42948137882536,-120.33518016316907
51.56,39.42976560483804,-120.33509615190194
51.47,39.4301707088511,-120.33556273193382
51.39,39.430202378657995,-120.33591296666282
51.35,39.42597845519791,-120.33146666488655
51.34,39.42499323593081,-120.33844731313516
51.3,39.42383282474529,-120.33362494894635
51.13,39.42687842952834,-120.33792037956265
51.1,39.4302138047505,-120.33455954010982
51.09,39.42566932883801,-120.3311664514073
50.97,39.427947680264865,-120.33662794956578
50.74,39.423129662559525,-120.33539468814858
50.73,39.430835563271934,-120.33268890614211
50.73,39.42966858132195,-120.33479615350387
50.68,39.42991583176711,-120.33499028165446
50.67,39.42492870174663,-120.33840087412449
50.63,39.42778639075726,-120.33752985683466
50.62,39.42791279063617,-120.33768241352703
50.5,39.43074057396384,-120.33497101885726
50.36,39.430272060551495,-120.33611872830595
50.36,39.42927451500275,-120.33686627434676
50.33,39.4281365208377,-120.33605061070041
50.31,39.429561241809104,-120.33751028292146
50.26,39.43073316585057,-120.33482303832844
50.1,39.42982976262528,-120.33569994452155
50.03,39.430969744212106,-120.33525588579367
50.03,39.43028646498928,-120.33646302448078
49.99,39.42633683610566,-120.33670396525663
49.95,39.43008002631871,-120.33476802368958
49.93,39.424377804304704,-120.33598157196452
49.9,39.425801833561714,-120.33290860240537
49.86,39.426184855003754,-120.33214357735842
49.86,39.424667475667825,-120.33165804338495
49.83,39.42897511376396,-120.33772068170268
49.8,39.430142114146534,-120.33510448249164
49.76,39.4245520135786,-120.339180163263
49.74,39.43012676127077,-120.33615357663126
49.73,39.429519610418524,-120.33526603003835
49.73,39.42296135538329,-120.33559127280508
49.69,39.430111257811404,-120.3346575752073
49.65,39.430219173590714,-120.33494920291402
49.6,39.42901723994981,-120.33760186437965
49.57,39.430462830757165,-120.3371054290573
49.56,39.42511895987771,-120.33124376572012
49.53,39.4278476085948,-120.3369449712918
49.47,39.43094020326386,-120.33619103643763
49.44,39.42981742709944,-120.33562298562344
49.24,39.430279936059854,-120.33390361202008
49.23,39.42794466873406,-120.33826297257184
49.22,39.42429194640154,-120.33692150200375
49.22,39.42331855879256,-120.33583532696296
49.19,39.42909019099693,-120.33742093707036
49.18,39.426814802632464,-120.33546262264757
49.17,39.42619344218628,-120.33163755486815
49.16,39.430009967075705,-120.33511961873776
49.13,39.430310420912384,-120.3349078771851
49.08,39.424206330932265,-120.33910970716776
49.07,39.43010663799513,-120.33648599356029
48.98,39.42426256434668,-120.33706893249828
48.97,39.423560084101624,-120.33337360254146
48.92,39.4304784432813,-120.33114811971555
48.89,39.429112769168434,-120.33679850955211
48.88,39.430779180562894,-120.33449952634221
48.86,39.42555815268356,-120.33126151632683
48.78,39.43038195642277,-120.33515063312346
48.76,39.42311790360224,-120.32985272360911
48.75,39.42612357272637,-120.33171047160108
48.64,39.422923124087625,-120.33550541354909
