TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,TPA,X,Y,geometry
102145,4954,59,1,29.718,6.096,0.75,0.00148708925683,-2162763.993797284,1567141.73148534,POINT (-2162763.993797284 1567141.73148534)
102136,4954,547,1,48.006,14.020800000000001,0.75,0.00148708925683,-2162755.670450154,1567137.0939057944,POINT (-2162755.670450154 1567137.0939057944)
102138,4954,732,1,28.447999999999997,12.8016,0.65,0.00148708925683,-2162765.3742068172,1567135.9777819542,POINT (-2162765.3742068172 1567135.9777819542)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162760.232314092,1567136.3085332059,POINT (-2162760.232314092 1567136.3085332059)
102151,4954,59,1,47.24400000000001,7.315200000000001,0.65,0.00148708925683,-2162752.4852665896,1567135.3799215618,POINT (-2162752.4852665896 1567135.3799215618)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162745.942499944,1567139.4509776495,POINT (-2162745.942499944 1567139.4509776495)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162749.2049896577,1567136.9486137931,POINT (-2162749.2049896577 1567136.9486137931)
102154,4954,732,1,37.846000000000004,12.8016,0.4,0.00148708925683,-2162739.174939361,1567135.5295983267,POINT (-2162739.174939361 1567135.5295983267)
102152,4954,732,1,42.418,13.1064,0.35,0.00148708925683,-2162743.931254993,1567288.5589477713,POINT (-2162743.931254993 1567288.5589477713)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162745.0449904213,1567134.2267418795,POINT (-2162745.0449904213 1567134.2267418795)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162741.563818832,1567139.890678427,POINT (-2162741.563818832 1567139.890678427)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162753.64833259,1567288.8112089962,POINT (-2162753.64833259 1567288.8112089962)
102142,4954,732,1,38.862,12.192,0.65,0.00148708925683,-2162746.638433453,1567297.1163448899,POINT (-2162746.638433453 1567297.1163448899)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162753.463057667,1567295.2389831473,POINT (-2162753.463057667 1567295.2389831473)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162725.721537992,1567287.8974297114,POINT (-2162725.721537992 1567287.8974297114)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162766.1973808105,1567279.083411634,POINT (-2162766.1973808105 1567279.083411634)
102151,4954,59,1,47.24400000000001,7.315200000000001,0.65,0.00148708925683,-2162766.246747846,1567288.7509715394,POINT (-2162766.246747846 1567288.7509715394)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162764.066671533,1567271.1174939834,POINT (-2162764.066671533 1567271.1174939834)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162768.7345482456,1567275.8181149433,POINT (-2162768.7345482456 1567275.8181149433)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162764.3184287357,1567272.0401848105,POINT (-2162764.3184287357 1567272.0401848105)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162768.5686522764,1567271.261574795,POINT (-2162768.5686522764 1567271.261574795)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162762.212387719,1567270.5787234989,POINT (-2162762.212387719 1567270.5787234989)
102138,4954,732,1,28.447999999999997,12.8016,0.65,0.00148708925683,-2162768.5578093966,1567281.58439647,POINT (-2162768.5578093966 1567281.58439647)
102138,4954,732,1,28.447999999999997,12.8016,0.65,0.00148708925683,-2162758.6904938333,1567298.9099324655,POINT (-2162758.6904938333 1567298.9099324655)
102147,4954,63,1,19.05,5.7912,0.6,0.00148708925683,-2162752.2096990785,1567287.7649203145,POINT (-2162752.2096990785 1567287.7649203145)
102153,4954,732,1,16.256,9.144,0.4,0.00148708925683,-2162762.0161294527,1567286.4140477646,POINT (-2162762.0161294527 1567286.4140477646)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162757.8947253325,1567285.777674558,POINT (-2162757.8947253325 1567285.777674558)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162763.8234936628,1567297.0694292034,POINT (-2162763.8234936628 1567297.0694292034)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162755.9914785526,1567130.9068114455,POINT (-2162755.9914785526 1567130.9068114455)
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144,-2162747.8318020226,1567129.2784797545,POINT (-2162747.8318020226 1567129.2784797545)
102153,4954,732,1,16.256,9.144,0.4,0.00148708925683,-2162753.317225283,1567130.714541331,POINT (-2162753.317225283 1567130.714541331)
198190,10073,807,1,29.21,10.0584,0.35,0.00148708925683,-2162539.781748345,1567343.2290819446,POINT (-2162539.781748345 1567343.2290819446)
198190,10073,807,1,29.21,10.0584,0.35,0.00148708925683,-2162540.898100057,1567343.0601019913,POINT (-2162540.898100057 1567343.0601019913)
198187,10073,807,1,20.828,10.3632,0.3,0.00148708925683,-2162529.211011031,1567329.9247527448,POINT (-2162529.211011031 1567329.9247527448)
198187,10073,807,1,20.828,10.3632,0.3,0.00148708925683,-2162543.2277724445,1567354.9434416757,POINT (-2162543.2277724445 1567354.9434416757)
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683,-2162533.4276637053,1567354.4850877996,POINT (-2162533.4276637053 1567354.4850877996)
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683,-2162530.165503067,1567346.188064678,POINT (-2162530.165503067 1567346.188064678)
198190,10073,807,1,29.21,10.0584,0.35,0.00148708925683,-2162544.480920453,1567352.6717975074,POINT (-2162544.480920453 1567352.6717975074)
198190,10073,807,1,29.21,10.0584,0.35,0.00148708925683,-2162548.6727247676,1567356.3272626724,POINT (-2162548.6727247676 1567356.3272626724)
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683,-2162536.582499138,1567350.2929094976,POINT (-2162536.582499138 1567350.2929094976)
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683,-2162534.9009030336,1567357.5458434704,POINT (-2162534.9009030336 1567357.5458434704)
198188,10073,807,1,20.32,10.972800000000001,0.3,0.00148708925683,-2162542.297403154,1567356.2097256149,POINT (-2162542.297403154 1567356.2097256149)
198188,10073,807,1,20.32,10.972800000000001,0.3,0.00148708925683,-2162541.5991253927,1567352.1438716894,POINT (-2162541.5991253927 1567352.1438716894)
198188,10073,807,1,20.32,10.972800000000001,0.3,0.00148708925683,-2162534.3785040136,1567348.331872858,POINT (-2162534.3785040136 1567348.331872858)
198188,10073,807,1,20.32,10.972800000000001,0.3,0.00148708925683,-2162788.053115221,1567577.3541227584,POINT (-2162788.053115221 1567577.3541227584)
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683,-2162786.692513148,1567580.614475905,POINT (-2162786.692513148 1567580.614475905)
198186,10073,801,2,72.39,11.8872,,0.00024690435073999997,-2162786.765717466,1567577.7938530191,POINT (-2162786.765717466 1567577.7938530191)
198189,10073,807,1,75.18400000000001,9.7536,0.5,0.00024690435073999997,-2162781.3148871358,1567573.0782964905,POINT (-2162781.3148871358 1567573.0782964905)
198187,10073,807,1,20.828,10.3632,0.3,0.00148708925683,-2162774.988641518,1567583.1677809784,POINT (-2162774.988641518 1567583.1677809784)
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683,-2162783.286997244,1567595.9497964585,POINT (-2162783.286997244 1567595.9497964585)
198190,10073,807,1,29.21,10.0584,0.35,0.00148708925683,-2162779.907870792,1567594.7117991315,POINT (-2162779.907870792 1567594.7117991315)
198188,10073,807,1,20.32,10.972800000000001,0.3,0.00148708925683,-2162796.92789826,1567595.00848008,POINT (-2162796.92789826 1567595.00848008)
