TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,TPA
102136,4954,547,1,48.006,14.020800000000001,0.75,0.00148708925683
102137,4954,803,2,,,,
102138,4954,732,1,28.447999999999997,12.8016,0.65,0.00148708925683
102139,4954,732,1,14.986,10.668000000000001,0.5,0.00148708925683
102140,4954,732,2,40.386,12.192,,0.00148708925683
102141,4954,732,2,,,,
102142,4954,732,1,38.862,12.192,0.65,0.00148708925683
102143,4954,732,2,,,,
102144,4954,59,1,38.608,8.2296,0.55,0.00148708925683
102145,4954,59,1,29.718,6.096,0.75,0.00148708925683
102146,4954,59,1,42.925999999999995,8.5344,0.85,0.00148708925683
102147,4954,63,1,19.05,5.7912,0.6,0.00148708925683
102148,4954,63,1,24.637999999999998,6.7056000000000004,0.5,0.00148708925683
102149,4954,59,1,4.826,2.1336,0.8,0.0185242955144
102150,4954,59,1,21.843999999999998,4.8768,0.5,0.00148708925683
102151,4954,59,1,47.24400000000001,7.315200000000001,0.65,0.00148708925683
102152,4954,732,1,42.418,13.1064,0.35,0.00148708925683
102153,4954,732,1,16.256,9.144,0.4,0.00148708925683
102154,4954,732,1,37.846000000000004,12.8016,0.4,0.00148708925683
102155,4954,606,1,12.953999999999999,5.486400000000001,0.45,0.00148708925683
102156,4954,732,2,,,,
102157,4954,732,2,,,,
164172,10130,818,1,49.53,15.24,0.8,0.00148708925683
164173,10130,818,2,37.846000000000004,9.7536,,0.00148708925683
164174,10130,801,1,71.12,20.1168,0.65,0.00024690435073999997
164175,10130,333,1,49.53,9.144,0.42,0.00148708925683
164176,10130,333,1,26.416,10.668000000000001,0.4,0.00148708925683
164177,10130,818,2,,,,
164178,10130,818,1,41.910000000000004,14.630400000000002,0.35,0.00148708925683
164179,10130,818,1,51.815999999999995,5.7912,0.55,0.00148708925683
164180,10130,981,1,83.312,18.5928,0.85,0.00024690435073999997
182406,10134,801,1,29.464,11.277600000000001,0.65,0.00148708925683
182407,10134,801,1,31.242,10.668000000000001,0.35,0.00148708925683
182408,10134,801,1,39.878,14.325600000000001,0.65,0.00148708925683
182409,10134,801,1,30.733999999999998,12.8016,0.65,0.00148708925683
182410,10134,801,1,40.132000000000005,16.154400000000003,0.6,0.00148708925683
182411,10134,801,1,41.910000000000004,15.24,0.6,0.00148708925683
182412,10134,801,1,15.494,7.315200000000001,0.5,0.00148708925683
182413,10134,801,1,53.086,14.325600000000001,0.45,0.00148708925683
194102,10106,801,2,52.07,2.4384,,0.00148708925683
194103,10106,801,1,62.230000000000004,8.5344,0.5,0.00024690435073999997
194104,10106,801,1,69.088,16.154400000000003,0.75,0.00024690435073999997
194105,10106,801,1,41.910000000000004,10.0584,0.3,0.00148708925683
194106,10106,801,1,59.182,10.972800000000001,0.4,0.00148708925683
194107,10106,801,1,17.78,8.2296,0.3,0.00148708925683
194108,10106,801,1,24.637999999999998,9.144,0.2,0.00148708925683
194109,10106,801,1,17.018,6.7056000000000004,0.3,0.00148708925683
194110,10106,801,1,25.654,7.9248,0.3,0.00148708925683
194111,10106,801,1,44.958,6.7056000000000004,0.35,0.00148708925683
194112,10106,801,1,33.528,7.315200000000001,0.35,0.00148708925683
194113,10106,801,1,38.862,8.5344,0.4,0.00148708925683
194114,10106,801,1,61.976,7.9248,0.2,0.00024690435073999997
194115,10106,801,1,23.114,5.1816,0.4,0.00148708925683
194116,10106,801,1,23.114,7.62,0.3,0.00148708925683
198185,10073,801,2,72.136,6.7056000000000004,,0.00024690435073999997
198186,10073,801,2,72.39,11.8872,,0.00024690435073999997
198187,10073,807,1,20.828,10.3632,0.3,0.00148708925683
198188,10073,807,1,20.32,10.972800000000001,0.3,0.00148708925683
198189,10073,807,1,75.18400000000001,9.7536,0.5,0.00024690435073999997
198190,10073,807,1,29.21,10.0584,0.35,0.00148708925683
198191,10073,807,1,20.573999999999998,8.5344,0.4,0.00148708925683
200930,10088,801,1,16.764,5.1816,0.55,0.00148708925683
200931,10088,801,1,39.624,13.716000000000001,0.4,0.00148708925683
200932,10088,801,2,18.796000000000003,3.3528000000000002,,0.00148708925683
200933,10088,801,1,49.022000000000006,14.020800000000001,0.55,0.00148708925683
200934,10088,801,1,70.104,18.288,0.4,0.00024690435073999997
200935,10088,801,1,54.61,14.325600000000001,0.35,0.00148708925683
200936,10088,801,1,66.802,14.9352,0.65,0.00024690435073999997
200937,10088,801,1,61.976,13.1064,0.45,0.00024690435073999997
200938,10088,801,1,50.038,13.411200000000001,0.55,0.00148708925683
200939,10088,807,1,56.642,18.5928,0.55,0.00148708925683
200940,10088,801,1,22.352000000000004,10.0584,0.3,0.00148708925683
200941,10088,801,1,40.386,9.144,0.4,0.00148708925683
200942,10088,801,1,65.024,18.288,0.4,0.00024690435073999997
200943,10088,801,1,13.97,9.144,0.3,0.00148708925683
200944,10088,801,1,58.928,19.2024,0.45,0.00148708925683
200945,10088,801,1,82.04199999999999,21.640800000000002,0.5,0.00024690435073999997
200946,10088,801,1,23.368,8.8392,0.5,0.00148708925683
200947,10088,801,1,36.322,12.192,0.5,0.00148708925683
200948,10088,801,1,24.892000000000003,10.0584,0.15,0.00148708925683
200949,10088,801,1,64.51599999999999,16.764,0.3,0.00024690435073999997
200950,10088,801,1,67.056,18.5928,0.2,0.00024690435073999997
